d1,type,d2
DB04571,74,DB00460
DB01600,74,DB00460
DB00553,74,DB00460
DB01090,44,DB09076
DB00810,44,DB01409
DB00332,44,DB00986
DB01090,44,DB00986
DB01591,44,DB01409
DB01591,44,DB00986
DB00387,44,DB09076
DB00332,44,DB09076
DB12278,44,DB00986
DB11315,44,DB09076
DB01062,44,DB00986
DB00986,44,DB01409
DB00805,44,DB01071
DB00915,44,DB00986
DB00387,44,DB01409
DB00392,44,DB01409
DB00809,44,DB09076
DB01090,44,DB01409
DB11315,44,DB01409
DB00332,44,DB01409
DB01409,44,DB09076
DB12278,44,DB09076
DB01037,44,DB01071
DB00387,44,DB00986
DB01367,44,DB01071
DB09241,44,DB01071
DB01062,44,DB01409
DB00810,44,DB00986
DB00392,44,DB00986
DB00810,44,DB09076
DB00809,44,DB00986
DB00986,44,DB09076
DB00392,44,DB09076
DB11315,44,DB00986
DB01591,44,DB09076
DB00809,44,DB01409
DB12278,44,DB01409
DB01062,44,DB09076
DB04574,3,DB09275
DB00588,3,DB01370
DB00588,3,DB06723
DB09091,3,DB01370
DB00596,3,DB13595
DB00687,3,DB03754
DB13158,3,DB03754
DB00223,3,DB09275
DB00896,3,DB13595
DB09091,3,DB09104
DB01234,3,DB03754
DB00596,3,DB09104
DB00223,3,DB03754
DB00223,3,DB06723
DB00180,3,DB09104
DB01384,3,DB09275
DB01380,3,DB09275
DB08905,3,DB09104
DB08906,3,DB09104
DB00596,3,DB09275
DB00896,3,DB01370
DB00896,3,DB03754
DB00180,3,DB09275
DB09091,3,DB09275
DB00223,3,DB01370
DB00687,3,DB06723
DB00324,3,DB09275
DB13158,3,DB06723
DB01380,3,DB09104
DB01384,3,DB09104
DB00596,3,DB06723
DB01047,3,DB01370
DB00896,3,DB09104
DB00596,3,DB01370
DB00324,3,DB03754
DB08970,3,DB09275
DB00288,3,DB03754
DB00288,3,DB01370
DB00324,3,DB01370
DB13158,3,DB01370
DB00896,3,DB06723
DB00838,3,DB13595
DB00288,3,DB13595
DB00588,3,DB09104
DB01047,3,DB09275
DB00223,3,DB09104
DB01234,3,DB09104
DB00838,3,DB09104
DB08970,3,DB03754
DB00588,3,DB03754
DB04574,3,DB06723
DB01047,3,DB03754
DB00223,3,DB13595
DB08970,3,DB13595
DB00288,3,DB09104
DB00896,3,DB09275
DB08905,3,DB13595
DB08906,3,DB09275
DB08905,3,DB09275
DB00687,3,DB01370
DB08970,3,DB09104
DB01380,3,DB06723
DB01384,3,DB06723
DB00687,3,DB13595
DB01234,3,DB01370
