d1,type,d2
DB11315,44,DB08897
DB00424,44,DB08897
DB06148,44,DB00670
DB00462,44,DB00391
DB00732,44,DB08897
DB00810,44,DB01409
DB00332,44,DB00986
DB00670,44,DB00391
DB00496,44,DB01409
DB01409,44,DB08897
DB00182,44,DB06153
DB00967,44,DB01409
DB00219,44,DB00391
DB00670,44,DB00986
DB00387,44,DB08897
DB06148,44,DB00387
DB01036,44,DB01409
DB06148,44,DB01591
DB00940,44,DB08897
DB06148,44,DB00782
DB00732,44,DB00986
DB00782,44,DB08897
DB01591,44,DB01409
DB00747,44,DB00986
DB01591,44,DB00391
DB01199,44,DB00986
DB01037,44,DB00434
DB01591,44,DB00986
DB00332,44,DB08897
DB01171,44,DB00434
DB01199,44,DB00391
DB00209,44,DB00391
DB00732,44,DB00391
DB00614,44,DB00283
DB00908,44,DB00391
DB06148,44,DB11315
DB00908,44,DB00986
DB06148,44,DB08897
DB00462,44,DB01409
DB00424,44,DB00986
DB06148,44,DB00219
DB06702,44,DB01409
DB00782,44,DB00391
DB00376,44,DB01409
DB06148,44,DB00424
DB00572,44,DB00986
DB01062,44,DB00986
DB00219,44,DB00986
DB00986,44,DB01409
DB00209,44,DB08897
DB00614,44,DB06153
DB01036,44,DB08897
DB01171,44,DB06153
DB06702,44,DB08897
DB00332,44,DB00391
DB00908,44,DB01409
DB00915,44,DB00986
DB00387,44,DB01409
DB00967,44,DB00391
DB01338,44,DB08897
DB01339,44,DB08897
DB06148,44,DB00376
DB00392,44,DB01409
DB01338,44,DB00986
DB00782,44,DB01409
DB06148,44,DB01339
DB00572,44,DB01409
DB01171,44,DB00283
DB00209,44,DB01409
DB06148,44,DB01409
DB09300,44,DB08897
DB00424,44,DB00391
DB11315,44,DB01409
DB00986,44,DB08897
DB06148,44,DB01338
DB00219,44,DB08897
DB01338,44,DB00391
DB00332,44,DB01409
DB01339,44,DB00391
DB00747,44,DB08897
DB00182,44,DB00434
DB00209,44,DB00986
DB01173,44,DB00986
DB06148,44,DB01173
DB00670,44,DB01409
DB00967,44,DB00986
DB06148,44,DB00332
DB06148,44,DB00986
DB01036,44,DB00391
DB01337,44,DB00391
DB00940,44,DB00391
DB00392,44,DB00391
DB00462,44,DB00986
DB00219,44,DB01409
DB06148,44,DB01337
DB01199,44,DB08897
DB00376,44,DB00986
DB00670,44,DB08897
DB00462,44,DB08897
DB00810,44,DB00391
DB00496,44,DB00391
DB06148,44,DB01036
DB01173,44,DB01409
DB06702,44,DB00986
DB06148,44,DB09300
DB00908,44,DB08897
DB00979,44,DB00986
DB01591,44,DB08897
DB00387,44,DB00986
DB00376,44,DB08897
DB01199,44,DB01409
DB01409,44,DB00391
DB01037,44,DB06153
DB00782,44,DB00986
DB06148,44,DB00496
DB00182,44,DB00283
DB06148,44,DB00732
DB06148,44,DB00392
DB00780,44,DB06153
DB00940,44,DB00986
DB00979,44,DB08897
DB01062,44,DB01409
DB06148,44,DB00810
DB00424,44,DB01409
DB06148,44,DB00747
DB00810,44,DB00986
DB06148,44,DB00979
DB01626,44,DB00283
DB00810,44,DB08897
DB00392,44,DB00986
DB09300,44,DB01409
DB00780,44,DB00434
DB00747,44,DB00391
DB01337,44,DB00986
DB00572,44,DB00391
DB01626,44,DB06153
DB11315,44,DB00391
DB01626,44,DB00434
DB06148,44,DB00940
DB00986,44,DB00391
DB06148,44,DB00209
DB06148,44,DB01199
DB00780,44,DB00283
DB09300,44,DB00391
DB06148,44,DB00572
DB00387,44,DB00391
DB00747,44,DB01409
DB00376,44,DB00391
DB00496,44,DB00986
DB01173,44,DB08897
DB00614,44,DB00434
DB06148,44,DB00908
DB08897,44,DB00391
DB06148,44,DB00462
DB00979,44,DB00391
DB06148,44,DB01062
DB00967,44,DB08897
DB01062,44,DB08897
DB00940,44,DB01409
DB01339,44,DB00986
DB11315,44,DB00986
DB01036,44,DB00986
DB00979,44,DB01409
DB01337,44,DB08897
DB00496,44,DB08897
DB01037,44,DB00283
DB00732,44,DB01409
DB06702,44,DB00391
DB09300,44,DB00986
DB00392,44,DB08897
DB06148,44,DB00967
DB01338,44,DB01409
DB01339,44,DB01409
DB01062,44,DB00391
DB01337,44,DB01409
DB00572,44,DB08897
DB04574,3,DB09275
DB00635,3,DB09275
DB00860,3,DB09104
DB01130,3,DB06724
DB00635,3,DB13595
DB11921,3,DB01377
DB00764,3,DB01390
DB04574,3,DB01377
DB00443,3,DB09104
DB00596,3,DB13595
DB00663,3,DB06724
DB00591,3,DB13595
DB00547,3,DB06724
DB08906,3,DB01390
DB01047,3,DB06724
DB00959,3,DB09275
DB00741,3,DB13595
DB00223,3,DB09275
DB00288,3,DB01390
DB00896,3,DB13595
DB09095,3,DB09104
DB09091,3,DB09104
DB00896,3,DB06724
DB00394,3,DB08938
DB00764,3,DB08938
DB00591,3,DB09104
DB00596,3,DB09104
DB00443,3,DB13595
DB00620,3,DB08938
DB01260,3,DB06724
DB13158,3,DB06724
DB06786,3,DB13595
DB06781,3,DB13595
DB11921,3,DB09275
DB00180,3,DB09104
DB00860,3,DB01390
DB00588,3,DB01377
DB00620,3,DB09104
DB00741,3,DB09104
DB00180,3,DB01377
DB01384,3,DB09275
DB01380,3,DB09275
DB08906,3,DB09104
DB00596,3,DB09275
DB06781,3,DB01390
DB00635,3,DB01377
DB00443,3,DB06724
DB00860,3,DB08938
DB11921,3,DB06724
DB04574,3,DB06724
DB00288,3,DB01377
DB00547,3,DB08938
DB01234,3,DB01377
DB08906,3,DB08938
DB00180,3,DB09275
DB01130,3,DB13595
DB01047,3,DB08938
DB09091,3,DB09275
DB09095,3,DB09275
DB00663,3,DB13595
DB00591,3,DB09275
DB00324,3,DB09275
DB09091,3,DB01377
DB00635,3,DB01390
DB00223,3,DB01390
DB08971,3,DB08938
DB00180,3,DB01390
DB00591,3,DB06724
DB00596,3,DB06724
