d1,type,d2
DB00424,44,DB08897
DB06148,44,DB00670
DB06148,44,DB01116
DB00517,44,DB00391
DB00462,44,DB00391
DB00732,44,DB08897
DB00670,44,DB00391
DB00182,44,DB06153
DB00219,44,DB00391
DB06148,44,DB00517
DB01247,44,DB00283
DB01168,44,DB00366
DB06148,44,DB00657
DB00940,44,DB08897
DB01247,44,DB00434
DB06148,44,DB00782
DB00782,44,DB08897
DB01247,44,DB00366
DB00182,44,DB00366
DB01171,44,DB00434
DB01199,44,DB00391
DB00209,44,DB00391
DB00732,44,DB00391
DB00614,44,DB00283
DB00908,44,DB00391
DB00517,44,DB08897
DB01116,44,DB00391
DB06148,44,DB08897
DB09244,44,DB00283
DB06148,44,DB00219
DB00782,44,DB00391
DB06148,44,DB00424
DB09244,44,DB00366
DB00752,44,DB06153
DB06148,44,DB00340
DB00209,44,DB08897
DB00614,44,DB06153
DB01036,44,DB08897
DB01171,44,DB06153
DB06702,44,DB08897
DB01168,44,DB00434
DB00967,44,DB00391
DB01338,44,DB08897
DB01339,44,DB08897
DB06148,44,DB00376
DB06148,44,DB01339
DB09245,44,DB00366
DB00752,44,DB00434
DB01171,44,DB00283
DB09300,44,DB08897
DB00424,44,DB00391
DB06148,44,DB01338
DB00219,44,DB08897
DB01168,44,DB06153
DB01338,44,DB00391
DB01339,44,DB00391
DB00747,44,DB08897
DB00182,44,DB00434
DB00752,44,DB00366
DB06148,44,DB01173
DB00614,44,DB00366
DB01036,44,DB00391
DB01337,44,DB00391
DB00940,44,DB00391
DB01171,44,DB00366
DB06148,44,DB01337
DB00340,44,DB08897
DB01168,44,DB00283
DB01199,44,DB08897
DB00670,44,DB08897
DB00657,44,DB00391
DB00462,44,DB08897
DB00496,44,DB00391
DB01116,44,DB08897
DB06148,44,DB01036
DB06148,44,DB00245
DB01247,44,DB06153
DB06148,44,DB09300
DB00908,44,DB08897
DB09245,44,DB00434
DB06148,44,DB00483
DB00376,44,DB08897
DB06148,44,DB00804
DB09244,44,DB06153
DB00657,44,DB08897
DB00245,44,DB00391
DB00483,44,DB00391
DB06148,44,DB00496
DB01626,44,DB00366
DB00182,44,DB00283
DB09244,44,DB00434
DB06148,44,DB00732
DB00780,44,DB06153
DB00979,44,DB08897
DB00340,44,DB00391
DB00804,44,DB00391
DB06148,44,DB00747
DB06148,44,DB00979
DB01626,44,DB00283
DB00780,44,DB00434
DB00747,44,DB00391
DB00572,44,DB00391
DB01626,44,DB06153
DB00804,44,DB08897
DB01626,44,DB00434
DB06148,44,DB00940
DB00780,44,DB00366
DB06148,44,DB00209
DB06148,44,DB01199
DB00780,44,DB00283
DB00483,44,DB08897
DB09300,44,DB00391
DB00752,44,DB00283
DB06148,44,DB00572
DB00376,44,DB00391
DB00245,44,DB08897
DB01173,44,DB08897
DB00614,44,DB00434
DB06148,44,DB00908
DB08897,44,DB00391
DB06148,44,DB00462
DB00979,44,DB00391
DB00967,44,DB08897
DB01337,44,DB08897
DB09245,44,DB00283
DB00496,44,DB08897
DB06702,44,DB00391
DB06148,44,DB00967
DB09245,44,DB06153
DB00572,44,DB08897
DB01130,3,DB06724
DB11921,3,DB01377
DB00764,3,DB01390
DB00394,3,DB09281
DB00663,3,DB06724
DB00240,3,DB09281
DB00547,3,DB06724
DB02187,3,DB01377
DB01410,3,DB09281
DB00394,3,DB08938
DB00764,3,DB08938
DB00620,3,DB08938
DB01260,3,DB06724
DB00860,3,DB01390
DB08971,3,DB09281
DB06781,3,DB01390
DB00635,3,DB01377
DB00443,3,DB06724
DB00860,3,DB08938
DB11921,3,DB06724
DB00547,3,DB08938
DB01222,3,DB09281
DB01130,3,DB09281
DB06786,3,DB09281
DB06781,3,DB09281
DB00635,3,DB01390
DB08971,3,DB08938
DB09095,3,DB09281
DB00591,3,DB06724
DB06786,3,DB01377
DB01260,3,DB09281
DB00394,3,DB06724
DB00547,3,DB01377
DB06786,3,DB08938
DB06781,3,DB08938
DB11921,3,DB01390
DB00873,3,DB06724
DB01708,3,DB01377
DB01130,3,DB01390
DB01260,3,DB01377
DB01708,3,DB09281
DB00655,3,DB06724
DB02187,3,DB08938
DB00253,3,DB09281
DB02187,3,DB01390
DB01222,3,DB01390
DB00959,3,DB09281
DB00253,3,DB01390
DB01013,3,DB08938
DB00655,3,DB09281
DB00635,3,DB08938
DB00959,3,DB01390
DB01013,3,DB01377
DB00443,3,DB08938
DB00846,3,DB01377
DB00873,3,DB08938
DB01222,3,DB08938
DB01222,3,DB01377
DB01013,3,DB06724
DB00655,3,DB01377
DB00663,3,DB09281
DB00741,3,DB01390
DB00764,3,DB06724
DB00620,3,DB01390
DB01708,3,DB06724
DB00860,3,DB09281
DB00443,3,DB01390
DB00240,3,DB01377
DB00741,3,DB08938
DB11921,3,DB09281
DB01260,3,DB01390
DB01410,3,DB06724
DB00846,3,DB01390
DB00240,3,DB08938
DB00860,3,DB06724
DB00394,3,DB01377
DB00764,3,DB09281
DB00860,3,DB01377
DB00591,3,DB01390
DB00846,3,DB08938
DB00663,3,DB01390
DB00547,3,DB01390
DB00240,3,DB06724
DB11921,3,DB08938
DB01260,3,DB08938
DB01410,3,DB01390
DB00240,3,DB01390
DB02187,3,DB09281
DB00547,3,DB09281
DB01410,3,DB08938
DB00620,3,DB09281
DB00394,3,DB01390
DB01130,3,DB01377
DB01130,3,DB08938
DB00959,3,DB08938
DB09095,3,DB01390
DB08971,3,DB01377
DB01708,3,DB01390
DB00873,3,DB09281
DB00663,3,DB01377
DB09095,3,DB06724
DB06781,3,DB06724
DB06786,3,DB06724
DB02187,3,DB06724
DB00443,3,DB01377
DB00253,3,DB01377
DB00764,3,DB01377
DB00655,3,DB08938
DB01708,3,DB08938
DB01013,3,DB01390
DB00959,3,DB01377
DB00959,3,DB06724
DB00253,3,DB08938
DB00873,3,DB01390
DB06786,3,DB01390
DB00635,3,DB06724
DB00873,3,DB01377
DB00620,3,DB01377
DB00741,3,DB01377
DB01013,3,DB09281
DB06781,3,DB01377
DB00655,3,DB01390
DB08971,3,DB01390
DB00335,3,DB00415
DB00741,3,DB06724
DB00620,3,DB06724
DB00635,3,DB09281
DB00741,3,DB09281
DB09095,3,DB01377
DB00846,3,DB09281
DB00591,3,DB09281
