d1,type,d2
DB04571,74,DB00460
DB09536,74,DB00460
DB00553,74,DB00460
DB00140,74,DB00460
DB00821,74,DB00460
DB01090,44,DB09076
DB01168,44,DB01071
DB01168,44,DB00366
DB01247,44,DB00366
DB09244,44,DB01071
DB01367,44,DB00366
DB00483,44,DB09076
DB09244,44,DB00366
DB09241,44,DB00366
DB00805,44,DB01071
DB00657,44,DB09076
DB00809,44,DB09076
DB09245,44,DB00366
DB00752,44,DB00366
DB01116,44,DB09076
DB00340,44,DB09076
DB12278,44,DB09076
DB01247,44,DB01071
DB00804,44,DB09076
DB01367,44,DB01071
DB09245,44,DB01071
DB09241,44,DB01071
DB00805,44,DB00366
DB00752,44,DB01071
DB00245,44,DB09076
DB00517,44,DB09076
DB00253,3,DB06723
DB00253,3,DB03754
DB00253,3,DB09281
DB02187,3,DB06723
DB00253,3,DB01370
DB02187,3,DB03754
DB02187,3,DB01370
DB02187,3,DB09281
DB08905,3,DB03754
DB08905,3,DB01370
DB08905,3,DB06723
DB08905,3,DB09281
DB00808,6,DB01320
DB00674,6,DB09280
DB01006,6,DB01320
DB01355,6,DB00165
DB08868,6,DB09280
DB11828,6,DB01320
DB00245,6,DB01320
DB00889,6,DB09280
DB00808,6,DB09280
DB06016,6,DB01320
DB13179,6,DB09280
DB00278,6,DB09280
DB00475,6,DB09280
DB01105,6,DB01320
DB00498,6,DB00474
DB00749,6,DB01320
DB00744,6,DB01320
DB01074,6,DB01355
DB06803,6,DB01320
DB06155,6,DB01320
DB00872,6,DB09280
DB00731,6,DB01320
DB00907,6,DB09280
DB00906,6,DB09280
DB00909,6,DB09280
DB08877,6,DB01320
DB00724,6,DB09280
DB04572,6,DB09280
DB00268,6,DB09280
DB00884,6,DB01355
DB08439,6,DB01320
DB00889,6,DB01320
DB00593,6,DB09280
DB01427,6,DB00474
DB00307,6,DB01320
DB06144,6,DB01320
DB01427,6,DB01355
DB12483,6,DB01320
DB01128,6,DB01320
DB00724,6,DB01320
DB00091,6,DB01355
DB00474,6,DB00165
DB11828,6,DB09280
DB01085,6,DB09280
DB01087,6,DB09280
DB01256,6,DB01320
DB00471,6,DB01320
DB00278,6,DB01320
DB11362,6,DB01320
DB00637,6,DB09280
DB00705,6,DB09280
DB01628,6,DB01320
DB04743,6,DB01355
DB01241,6,DB01320
DB00845,6,DB09280
DB00531,6,DB01320
DB01355,6,DB01320
DB00884,6,DB00474
DB06739,6,DB01320
DB06654,6,DB09280
DB00912,6,DB01320
DB00872,6,DB01320
DB00674,6,DB01320
DB06016,6,DB09280
DB00947,6,DB09280
DB06268,6,DB01320
DB00898,6,DB09280
DB00906,6,DB01320
DB05381,6,DB01320
DB00843,6,DB01320
DB00845,6,DB01320
DB01087,6,DB01320
DB01085,6,DB01320
DB04572,6,DB01320
DB01261,6,DB01320
DB04898,6,DB01320
DB08881,6,DB09280
DB09026,6,DB09280
DB00377,6,DB09280
DB00339,6,DB01320
DB12267,6,DB01320
DB01601,6,DB09280
DB11817,6,DB01320
DB08827,6,DB01320
DB08828,6,DB01320
DB01320,6,DB00165
DB01394,6,DB01320
DB06237,6,DB01320
DB06742,6,DB09280
DB09101,6,DB09280
DB05271,6,DB09280
DB11560,6,DB01320
DB00185,6,DB09280
DB01074,6,DB00474
DB00426,6,DB01320
DB11581,6,DB01320
DB09090,6,DB00474
DB12332,6,DB01320
DB00927,6,DB01320
DB09183,6,DB01320
DB00482,6,DB01320
DB00356,6,DB09280
DB00358,6,DB09280
DB00559,6,DB01320
DB00553,6,DB01320
DB00204,6,DB09280
DB06237,6,DB09280
DB08931,6,DB01320
DB13874,6,DB01320
DB00091,6,DB00474
DB00836,6,DB01320
DB00446,6,DB01601
DB00637,6,DB01320
DB00498,6,DB01355
DB01236,6,DB01320
DB08868,6,DB01320
DB00490,6,DB01320
DB04930,6,DB01320
DB01587,6,DB01320
DB01241,6,DB09280
DB06403,6,DB01320
DB09090,6,DB01355
DB06595,6,DB09280
DB04743,6,DB00474
DB00947,6,DB01320
DB09080,6,DB01320
DB01105,6,DB09280
DB01221,6,DB01320
DB08827,6,DB09280
DB00799,6,DB01320
DB00339,6,DB09280
DB00377,6,DB01320
DB01256,6,DB09280
DB00204,6,DB01320
DB00426,6,DB09280
DB08893,6,DB01320
DB00907,6,DB01320
DB09078,6,DB01320
DB01006,6,DB09280
DB01008,6,DB09280
DB00498,6,DB00559
DB00553,6,DB09280
DB06209,6,DB01320
DB06144,6,DB09280
DB09270,6,DB00559
DB13179,6,DB01320
DB00602,6,DB01320
DB01128,6,DB09280
DB01028,6,DB01320
DB01156,6,DB01320
DB00772,6,DB01320
DB00185,6,DB01320
DB00193,6,DB01320
DB00356,6,DB01320
DB06210,6,DB01320
DB06742,6,DB01320
DB06155,6,DB09280
DB06654,6,DB01320
DB00822,6,DB09280
DB00818,6,DB01320
DB01131,6,DB01320
DB00490,6,DB09280
DB01166,6,DB01320
DB08877,6,DB09280
DB09026,6,DB01320
DB00184,6,DB01320
DB06595,6,DB01320
DB00686,45,DB06605
DB09283,45,DB00975
DB00972,45,DB00278
DB05676,45,DB00278
DB00749,45,DB00974
DB09030,45,DB06441
DB00744,45,DB00974
DB04743,45,DB00975
DB06209,45,DB00569
DB00569,45,DB00974
