d1,type,d2
DB04571,74,DB00460
DB00855,74,DB00460
DB09536,74,DB00460
DB01600,74,DB00460
DB09000,74,DB00460
DB00553,74,DB00460
DB06261,74,DB00460
DB01878,74,DB00460
DB00140,74,DB00460
DB00821,74,DB00460
DB11315,44,DB08897
DB00424,44,DB08897
DB06148,44,DB00670
DB06148,44,DB01116
DB00517,44,DB00391
DB01090,44,DB09076
DB01168,44,DB01071
DB00462,44,DB00391
DB00732,44,DB08897
DB00810,44,DB01409
DB00332,44,DB00986
DB00805,44,DB00434
DB00670,44,DB00391
DB00496,44,DB01409
DB01409,44,DB08897
DB00182,44,DB06153
DB06702,44,DB09076
DB00967,44,DB01409
DB00219,44,DB00391
DB01037,44,DB00366
DB00670,44,DB00986
DB06148,44,DB00517
DB01339,44,DB09076
DB01247,44,DB00283
DB01090,44,DB00986
DB01168,44,DB00366
DB00387,44,DB08897
DB06148,44,DB00387
DB01036,44,DB01409
DB06148,44,DB00657
DB01090,44,DB08897
DB06148,44,DB01591
DB00572,44,DB09076
DB00940,44,DB08897
DB09300,44,DB09076
DB01247,44,DB00434
DB06148,44,DB00782
DB00732,44,DB00986
DB00782,44,DB08897
DB01116,44,DB00986
DB00670,44,DB09076
DB01247,44,DB00366
DB01591,44,DB01409
DB00747,44,DB00986
DB00517,44,DB00986
DB00182,44,DB00366
DB09244,44,DB01071
DB09076,44,DB00391
DB01591,44,DB00391
DB00780,44,DB01071
DB01199,44,DB00986
DB01037,44,DB00434
DB01591,44,DB00986
DB00332,44,DB08897
DB06148,44,DB01090
DB08897,44,DB09076
DB01171,44,DB00434
DB01199,44,DB00391
DB00387,44,DB09076
DB01367,44,DB00366
DB00209,44,DB00391
DB00732,44,DB00391
DB00332,44,DB09076
DB00614,44,DB00283
DB00908,44,DB00391
DB00483,44,DB09076
DB06148,44,DB11315
DB00517,44,DB08897
DB12278,44,DB08897
DB00908,44,DB00986
DB01116,44,DB00391
DB06148,44,DB08897
DB00462,44,DB01409
DB00657,44,DB01409
DB09244,44,DB00283
DB12278,44,DB00986
DB11315,44,DB09076
DB00424,44,DB00986
DB06148,44,DB00219
DB06702,44,DB01409
DB00782,44,DB00391
DB00376,44,DB01409
DB06148,44,DB00424
DB09244,44,DB00366
DB00752,44,DB06153
DB06148,44,DB00340
DB00572,44,DB00986
DB01062,44,DB00986
DB00219,44,DB00986
DB00986,44,DB01409
DB00209,44,DB08897
DB00614,44,DB06153
DB01036,44,DB08897
DB09241,44,DB00366
DB01036,44,DB09076
DB00805,44,DB01071
DB01171,44,DB06153
DB00209,44,DB09076
DB06702,44,DB08897
